name,reviews_list,aspects,sentiment
Barbeque Nation ,Food served is really tasty and full of flavours,food,positive
Barbeque Nation ,It is awesome place,ambience,positive
Barbeque Nation ,Staffs are so friendly. ,service,positive
Barbeque Nation ,Music is quite good,ambience,positive
Barbeque Nation ,U will love d place,ambience,positive
Barbeque Nation ,Vibrant and good vibes most of the time.,ambience,positive
Barbeque Nation ,They have really friendly staffs and who performs their services promptly,service,positive
Barbeque Nation ,drinks is little costly ,price,negative
Barbeque Nation ,food taste and quality is never compromised,food,positive
Barbeque Nation ,They have really friendly staffs and who performs their services promptly,service,positive
Barbeque Nation ,A very nice and good place with best buffet in town,ambience,positive
Barbeque Nation ,The staff were very humble and polite,service,positive
Barbeque Nation ,The food was good in taste and quality would recommend this place at any time,food,positive
Barbeque Nation ,Chef and Waiter were very polite and courteous but food wasn't as good,food,positive
Barbeque Nation ,"100% satisfaction, taste and service",food,positive
Barbeque Nation ,"100% satisfaction, taste and service",service,positive
Barbeque Nation ,pleasure to visit this place at any city to satisfy your taste buds and its very reliable,food,positive
Barbeque Nation ,Service is the best thing about this chain and it always amazes me,service,positive
Barbeque Nation ,Plac eis quote good ambiance food was fabolus and the started with freshly made starters food quality was never better just waw people are supporting really helpful customize the taste spice according to your need speaclliy thanks to,ambience,positive
Barbeque Nation ,Main course have good choice for veg as well as non veg,food,positive
Barbeque Nation ,Quality was just splendid (excellent),food,positive
Barbeque Nation ,Desert was very much better and melting in our mouth,food,neutral
Barbeque Nation ,Only issue was small place to accumulate,ambience,negative
Barbeque Nation ,nJust the purpose was served good ambiance,ambience,positive
Barbeque Nation ,"Pros- Unlimited chicken, mutton, fish Berbeque's.",food,positive
Barbeque Nation ,Which was fresh and extremely tasty.,food,positive
Barbeque Nation ,Need one welcome drink badly,food,negative
Barbeque Nation ,Server's are extremely helpful and polite. ,service,positive
Barbeque Nation ,Desserts were good and so were the multitude options in kulfi.,food,positive
Barbeque Nation ,"Biriyani, surprisingly, was passable. They need to come up with a better version. ",food,negative
Barbeque Nation ,Live grill on the table is a highlight and memorable experience.,service,positive
Barbeque Nation ,"On Service: Khush served us impeccably and with a smiling outlook. Big thumbs up.																							",service,positive
Barbeque Nation ,On decor: very casual ambience and almost every table had someone celebrating an anniversary or birthday',ambience,negative
Barbeque Nation ,I like their starters good variety of chicken starters.,food,positive
Barbeque Nation ,Like their desserts.,food,positive
Barbeque Nation ,But this time I really liked their assorted Kulfis. ,food,positive
Barbeque Nation ,"I didnt find it so great, the service was too late and the staff who served us looked so dull.",service,negative
Barbeque Nation ,"Food is good here, liked the desserts part.",food,positive
Barbeque Nation ,May be the day we went was too crowded and so couldn't enjoy the food properly.,ambience,negative
Barbeque Nation ,Waiting forward to meet the staff and food again.,food,positive
Barbeque Nation ,"What a charm the waiters have, what awesome food they serve. ",food,positive
Barbeque Nation ,"Veggie people have less options in any BBQ you go, but this place will make sure you have a good amount of quality veg starters on your request for free.",food,neutral
Barbeque Nation ,"Sometimes, they have complementary drinks with the food.",food,neutral
Barbeque Nation ,Check with the staff for that.,service,neutral
Barbeque Nation ,"One of the oldest places that started off the concept of in-table barbecue, this place has stood the test of time. ",ambience,neutral
Barbeque Nation ,"Be it the food served or the service offered, Barbecue Nation is a great place to head for good food.",food,positive
Barbeque Nation ,We went here for a family lunch and were seated promptly.,food,neutral
Barbeque Nation ,"We were attended to constantly, asked for our preferences, how we liked our barbecue, could the spice/flavouring be altered to adhere to our tastes etc.",service,neutral
Barbeque Nation ,"Our attenders were friendly, warm and prompt.",service,neutral
Barbeque Nation ,"We had a variety of starters, all of which were quite tasty(both veg and non veg).",food,neutral
Barbeque Nation ,The main course and desserts were good too.,food,positive
Barbeque Nation ,"Nice place to go, if you want a nice barbecue.",food,positive
Barbeque Nation ,"Best barbeque compared to all branches in Bangalore, it seems you have entered to a new world, went 4 times , food serving is fast, as like the food is very nice and hygienic, well keep the good service",service,positive
Barbeque Nation ,"I visited 2nd time to your restorenr food was really good with nice tase,fruits, biryani ,chicken all items are very nice with special taste ,serving is very good I prefor your restorent to come again and again....",food,positive
Barbeque Nation ,"didnt find it so great, the service was too late and the staff who served us looked so dull. ",service,negative
Empire Restaurant,"Grill and tandoori is an all timer goto, but the quality is suppressed in the recent past.",food,negative
Empire Restaurant,Shwarama is a must try,food,positive
Empire Restaurant,"As a vegetarian, this would be our last option. ",food,negative
Empire Restaurant,"when the rest of Bangalore is closed, this place always takes care of hunger",food,negative
Empire Restaurant,It's crowded as usual but you get a table for sure.,service,negative
Empire Restaurant,Egg dosa was really confusing and I didn't get it,food,negative
Empire Restaurant,However Ghee rice and Dal is always good here,food,neutral
Empire Restaurant,Arabian Grape juice is just great,food,neutral
Empire Restaurant,Service is really quick,service,positive
Empire Restaurant,"If not for fine dining, for a quick meal at odd hours when you don't have options, this is a place to be",service,negative
Empire Restaurant,Very nice experience!,service,neutral
Empire Restaurant,Roomali roti is really good only thing is chicken was not cooked properly in the butter chicken curry,food,neutral
Empire Restaurant,Worth the money,price,neutral
Empire Restaurant,we having empire special chicken kabab and grill chicken so it was very yummy and hygeni and good managament,service,positive
Empire Restaurant,Heard so much about Hotel Empire Thali,food,neutral
Empire Restaurant,Today I got that very chance to taste Big Veg thali,food,neutral
Empire Restaurant,Price is reasonable for the amount of varieties on this thali,price,positive
Empire Restaurant,Value for money,price,positive
Empire Restaurant,Taste for food,food,positive
Empire Restaurant,Food,food,neutral
Empire Restaurant,Ambience ,ambience,neutral
Empire Restaurant,Staff was good,service,neutral
Empire Restaurant,Price,price,neutral
Empire Restaurant,"When in Bangalore, going to Empire becomes a default visit? Again this restaurant too has many chains and so it",service,neutral
Empire Restaurant,Shawarma is my all time favorite at this place. ,food,neutral
Empire Restaurant,Also they are many varieties of non veg and veg foodstuffs but people often visit this place for seafood and Muglai cuisines.,food,neutral
Empire Restaurant,Ambience is good and the staff is very polite and professional.,ambience,positive
Empire Restaurant,Overall a good place to be and one of the restaurant which is open till late night.,ambience,positive
Empire Restaurant,It is one of the big outlets of Empire. ,ambience,positive
Empire Restaurant,Having South Indian Section completely different. ,food,neutral
Empire Restaurant,Don't know why did they do it but seemed fishy.,service,negative
Empire Restaurant,We order a chicken thali. ,food,neutral
Empire Restaurant,rice was good enough. ,food,neutral
Empire Restaurant,Fresh Lime juice & couple of other things. ,food,neutral
Empire Restaurant,Food as all the Empire have was spicy. Quantity was good.,food,neutral
Empire Restaurant, Ambience & seating was great. ,ambience,positive
Empire Restaurant,that was the only good part of dining at this place.,ambience,positive
Empire Restaurant,This is a pocket friendly restaurant and have been visiting this franchise since childhood. ,price,positive
Empire Restaurant,They have wide range of options but the standing out are,service,negative
Empire Restaurant,Considering the competition they have applied some upgrades but as a childhood fan I would recommend them to have hygienic and quality maintenance to attract more crowd .,food,negative
Empire Restaurant,Value for money,price,positive
Empire Restaurant,"The quality of the food has come down, they were a lot lot better a couple of years back and the service is not that great too, their approach towards the customers is bad, they hardly respond to anything and they are too slow to get even a bundle of tissues to the table.",food,negative
Empire Restaurant,"Overall, the quality of this place could be much much better.",food,negative
Empire Restaurant," Empire, one of the most famous chains in bengaluru doesn't really need any introduction.",service,positive
Empire Restaurant,So i will keep it short! It is located in the core of jayanagar with ample seating space and lot of life all the time.,ambience,positive
Empire Restaurant,"I had butter chicken, ghee rice, pepper chicken and other things.",food,neutral
Empire Restaurant,Among these butter chicken combination with ghee rice was great.,food,neutral
Empire Restaurant," And the best thing about this place is that, it is open until 1a.m. with all the delicacies ready to be served. ",service,positive
Empire Restaurant,The staff over here is really helping and jolly. ,service,positive
Empire Restaurant,"This place is not really expensive but if you have zomato gold, then you are saving a lot of bucks.",price,positive
Empire Restaurant,Good food Awesome mood,food,positive
Empire Restaurant,One of the restaurant which will be open till midnight 2am in Bangalore and you get good food .,food,positive
Empire Restaurant,service is slow and not so friendly..,service,negative
Empire Restaurant,but taste and quality of the food is quite satisfactory..,food,positive
Empire Restaurant,Tasty non veg food a available here .,food,positive
Empire Restaurant,Below dishes are best here,food,neutral
Empire Restaurant,Best chicken grill,food,neutral
Empire Restaurant,shawarma.,food,neutral
Empire Restaurant,dosa and mutton Curry is awesome .,food,neutral
Empire Restaurant,best place to visit .,ambience,positive
Empire Restaurant,Do try shawarma platter.,food,neutral
Empire Restaurant,pulpy grape juice is delicious.,food,positive
Empire Restaurant,Dosa and mutton Curry must try dish,food,neutral
Empire Restaurant,Good place for food and chilling.,food,positive
Empire Restaurant,Had a good time,ambience,positive
Empire Restaurant,Service was good! Grill chicken is a must try.......,service,positive
Empire Restaurant, And yhen good ambiance and hood service.. ,ambience,positive
Empire Restaurant,So we are veru happy for dinner with my friends in there,food,positive
Empire Restaurant,The food was really good and service was also pretty good.,food,positive
Empire Restaurant,This particular outlet had ample car parking space also infront of the restaurant,ambience,neutral
Empire Restaurant,"I have been to many outlets of empire restaurant, because of the tasty food and the ambiance and service is awesome",food,positive
Empire Restaurant,Anyways not to elongate much food was really good,food,positive
Empire Restaurant,"Though the service isn't very fast here, the staff is definitely polite.",service,negative
Empire Restaurant,The quality is definitely worth the price.,service,positive
Empire Restaurant,The food here is really good ! ,food,positive
Empire Restaurant,Really decent quantity for the cost.,price,positive
Empire Restaurant,"I have been to many outlets of empire restaurant, because of the tasty food and the ambiance and service is awesome",ambience,positive
Empire Restaurant,Service is good too',service,positive
Empire Restaurant,food is always fresh and fast moving,food,positive
Empire Restaurant,veg food was terrible.,food,negative
Empire Restaurant,The service is always fast and the value for money is great.,service,positive
Empire Restaurant,Good food and ambience,food,positive
Empire Restaurant,There's nothing enthralling about the ambience but it's quite spacious.,ambience,negative
Empire Restaurant,The service here was extremely slow too.,service,negative
Empire Restaurant,Not many options for vegetarians,food,negative
Beijing Bites,Beijing bites is a gem for a person who loves Chinese Cuisine,food,positive
Beijing Bites," Though we have very less places that serve good  chinese food  in Bangalore, this is one of those places",food,positive
Beijing Bites, Loved the vibe which was kinda lively with good music playing in the Restaurant,ambience,positive
Beijing Bites, Staff was also very courteous and even helped me make my choices for food,service,positive
Beijing Bites, Loved the food and the moctails,food,positive
Beijing Bites, I would recommend the fish fingers and the chilli pepper chicken,food,positive
Beijing Bites, Also the drums of heaven are the best ones I have tried in Bengaluru yet,food,positive
Beijing Bites, We had a great time as we being Chinese food lovers have got the perfect place for us,food,positive
Beijing Bites," The Chilli Chicken, the prawns, the fish fingers - everything was tasty and worth a try",food,positive
Beijing Bites, Loved the strawberry mocktail they have,food,positive
Beijing Bites, Also the Honey fried noodles with ice cream was something I tried for the first time and loved it,food,positive
Beijing Bites, Horrible experience here because of service,service,negative
Beijing Bites, Food taste is not as diverse as the menu,food,negative
Beijing Bites, Everything tastes similar,food,neutral
Beijing Bites," If you want authentic chinese food, without any Indianised version of the dishes, this is the place for you",food,neutral
Beijing Bites," Simple, delicious chinese flavours without the addition of extra spices that are often found in other Chinese places",food,positive
Beijing Bites," Some of the dishes are slightly different on the palette, but overall a very good place for Chinese meals",food,positive
Beijing Bites, The quantities of each plate are more than enough for two people,service,positive
Beijing Bites,"Ordered a Chinese combo and to my surprise the taste was pathetic Very disappointed with the food quality The noodles tasted bland with no salt the chilly chicken seemed to be chicken dipped in
water
The gravy tasted waterlike no Salt no spice I am sure it was not even boiled",food,negative
Beijing Bites,Value for money,food,positive
Beijing Bites, Ambience bad ,ambience,negative
Beijing Bites, Staff behavior normal,service,neutral
Beijing Bites,"Food delivery was pathetic, there were all tables empty, still need to wait for an hour",service,negative
Beijing Bites, The wait got compensated by tasty food though,food,positive
Beijing Bites, I liked the ambience most of all,ambience,positive
Beijing Bites,Not a great fan of the food served there,food,negative
Beijing Bites,"I know very few places serving decent vegetarian chinese,this is definitely one of them",food,positive
Beijing Bites," Sitting and ambience was okay, music should have been more inviting and not night club like",ambience,neutral
Beijing Bites, They should serve some exciting mocktails and cocktails along with food,food,neutral
Beijing Bites,The most pathetic food and service from this place,food,negative
Beijing Bites, Ordered a delivery from these guys and the service was extremely worst,service,negative
Beijing Bites, Pathetic food and even worst service,food,negative
Beijing Bites,"This is not going to be a long review, just that I ordered a soup since I was unwell, and believe you me, it was lovely",food,positive
Beijing Bites, The chicken Tom yam soup was correctly spiced and the delivery time was perfect,service,positive
Beijing Bites, Beijing bites is all Time priority when it comes to Chinese and Thai food,food,positive
Beijing Bites, Their flavours are spot on and worth every bite ,food,positive
Beijing Bites,The ambiance is very simple and proper fine dine in style ,ambience,neutral
Beijing Bites,The hot and sour chicken soup was so perfect and an absolute treat for people who love spice ,food,positive
Beijing Bites,"Cream of mushroom soup is lighter one, a little sweet , perfect for people who like sweeter soup ",food,positive
Beijing Bites, Soft tender chicken with a tinch tangy and spicy sauce makes it really delicious ,food,positive
Beijing Bites, The potion for both the main course was really large and filling,service,positive
Beijing Bites, Had sweet corn soup with shredded lamb both of them were good ,food,positive
Beijing Bites,The lamb was crispy and extremely spicy  ,food,negative
Beijing Bites,And pricing is also decent  ,price,positive
Beijing Bites, But there was nothing right about the dining experience,service,negative
Beijing Bites, The staff is polite but not courteous ,service,negative
Beijing Bites,The ambience is not striking but considerable for price point,price,negative
Beijing Bites, Sitting arrangement is again in need of improvisation,ambience,negative
Beijing Bites, I don't want to get started with the food,food,negative
Beijing Bites, But I had to leave without finishing my order,food,negative
Beijing Bites, I've had quite a lot of their dishes and all have been good,food,positive
Beijing Bites, Their service is quick and you will feel satisfied with the food,service,positive
Beijing Bites," Recently, I tried the chicken garlic noodles which were the right amount of spicy, and tasty",food,positive
Beijing Bites, I also had the chili chicken which was well prepared,food,positive
Beijing Bites, Yes I like their Chinese dishes,food,positive
Beijing Bites, They are really super and awesome quantity,food,positive
Beijing Bites, Please keep serve like this ,service,positive
Beijing Bites, The dragon chicken here is just YUM! ,food,positive
Beijing Bites,We got the dragon chicken and the chilli garlic noodles both of which were very tasty! The only problem that we faced here is that it was too noisy and we could not communicate,ambience,negative
Beijing Bites, Other than that ambience is good,ambience,positive
Beijing Bites,Have been visiting this place from years and never the quality has been compromised,food,positive
Beijing Bites," The food has always been great, This is the best Chinese restaurant ",food,positive
Beijing Bites, It was pretty crowded,ambience,negative
Beijing Bites, Later service was very time consuming,service,negative
Beijing Bites, Food quality was not good,food,negative
Beijing Bites, And for paying the bill had to wait for half an hour,service,negative
Beijing Bites, It was a very bad experience,service,negative
Beijing Bites, Food was really good,food,positive
Beijing Bites, Service good,service,positive
Beijing Bites, chicken Manchurian was really great ,food,positive
Beijing Bites, Other than that everything was good,food,positive
Beijing Bites, I loved chicken in black pepper sauce!! Burnt garlic fried rice could have been better!! Thai curry was a bit soggy!! Staff were supportive!! Dragon chicken and prawn fried rice can be improvised,service,positive
Beijing Bites, overall it was a good experience,food,positive
Beijing Bites,It was very good Chinese restaurant ,food,positive
Beijing Bites,really yummy ,food,positive
Beijing Bites, Restaurant Manager friendly and very helpful,service,positive
Beijing Bites,Quite restaurant not busy,ambience,positive
Beijing Bites, service is great,service,positive
Beijing Bites, ambiance is good,ambience,positive
Beijing Bites, Decent place for Chinese food  ,food,positive
Beijing Bites,"I have been to Beijing bites in hard, sarjapur and koramangla locations but ambience is hands down better in korangla  ",ambience,positive
Beijing Bites,The schezwan chicken was really good ,food,positive
Beijing Bites,The fried rice was also good ,food,positive
Absolute Barbecues,"Best place for buffet, was wondering by seeing reviews 4",food,positive
Absolute Barbecues, But after the visit I just loved it,ambience,positive
Absolute Barbecues, AB s deserve Superb taste,food,positive
Absolute Barbecues,perfect ambience,ambience,positive
Absolute Barbecues,A plus service,service,positive
Absolute Barbecues, And they also help us to celebrate B day with inhouse small cake? and music,food,positive
Absolute Barbecues, And no problem with parking you have dedicated underground parking from back road,ambience,positive
Absolute Barbecues, Place to visit especially for non veg foodies,food,positive
Absolute Barbecues, Taste wise pasta and pani puri have to be improved,food,positive
Absolute Barbecues,"We liked the place a lot, and food was amazing",food,positive
Absolute Barbecues, Rahul and Vishwajeet served us really well,service,positive
Absolute Barbecues, The enthusiasm with the staff served customer and celebrate their events are mind-blowing,service,positive
Absolute Barbecues, They try to customise the dishes as per your requirement ,food,positive
Absolute Barbecues,Happy to be back any time soon,ambience,positive
Absolute Barbecues,Such an amazing experience for my bday! And these two guys  Maidul & Payrul  made my day! ,service,positive
Absolute Barbecues,Taste outstanding! Thats it,food,positive
Absolute Barbecues,"The rest has been said by the other reviews!  ,  One of the best places in town to eat and experience great customer satisfaction ",service,positive
Absolute Barbecues,I will always prefer ABS to any other buffet restaurant in Bengaluru ,food,positive
Absolute Barbecues,Food is awesome so the staffs,food,positive
Absolute Barbecues, Rohan & Khurshid are one of the best they have there ,service,positive
Absolute Barbecues,All live counters have equally mouth watering cuisine like all starters ,food,positive
Absolute Barbecues,Always book ur table in advance as getting a table there in walk-in is challenge ,service,negative
Absolute Barbecues,Food- 5/5 ,food,positive
Absolute Barbecues,Staff - 5/5 ,service,positive
Absolute Barbecues,Ambiance 5/5 ,ambience,positive
Absolute Barbecues,"Thanks  ,  Awesome place with great buffet",food,positive
Absolute Barbecues,Went for lunch with office team,food,neutral
Absolute Barbecues,It was really worth going to this place that too ,price,neutral
Absolute Barbecues,Courteous staff,service,positive
Absolute Barbecues,Food - 3/5 ,food,neutral
Absolute Barbecues,Ambience - 1/5 ,ambience,negative
Absolute Barbecues,Service - 5/5 ,service,positive
Absolute Barbecues,Must Try - Starters ,food,positive
Absolute Barbecues,Clue - Place is suffocating,ambience,negative
Absolute Barbecues,"Definitely, not appreciating the ambience",ambience,negative
Absolute Barbecues,Barbecue margination was so so as we asked to make it less spicy,food,neutral
Absolute Barbecues,Dahi Sholey was over fried and too oily,food,negative
Absolute Barbecues,Desserts were okay,food,neutral
Absolute Barbecues,Wish grill was also good,food,positive
Absolute Barbecues,Manager tried his best to help us out,service,positive
Absolute Barbecues,"But taste and quality has to be increased, no matter how much crowds you pull today",food,negative
Absolute Barbecues,"Excellent service!  Thanks to Rahul for the good service and complete attention to our likes!!  ,     AB s the name itself enough to validate the quality and taste",service,positive
Absolute Barbecues,Good food : mushrooms and the pan Ice-cream was the best!!,food,positive
Absolute Barbecues,Awesome ambience awesome food quality   Starters mainly  ,ambience,positive
Absolute Barbecues,The food taste quality is awesome and fully hygienic and finger licking,food,positive
Absolute Barbecues,Must try all flavours of kulfi,food,positive
Absolute Barbecues,One of the best place for barbecue in Bangalore,food,positive
Absolute Barbecues,"Starter menu is too good, in which prawn is really good",food,positive
Absolute Barbecues,"There is also several food items in live counter, like we had duck, sea foods, quail, bunny, emu, cultured shark etc",food,neutral
Absolute Barbecues,"Also, dessert menu is vast and delicious",food,positive
Absolute Barbecues,By far the best BBQ place in Bangalore,ambience,neutral
Absolute Barbecues,Loved the food over there,food,positive
Absolute Barbecues,"Starters, main course, deserts, chats everything has a very huge spread",food,positive
Absolute Barbecues,Staff is very courteous,service,positive
Absolute Barbecues,Music is too loud every time making it a bit tough to talk,ambience,negative
Absolute Barbecues,But overall really happy with the place,ambience,positive
Absolute Barbecues,The best buffet place in the city,food,positive
Absolute Barbecues,Have visited it many times and if you are a foodie then please skip the breakfast as there are many things to try,food,positive
Absolute Barbecues,Best place for starters and desserts ,food,positive
Absolute Barbecues,Would be great if you could add tandoori broccoli to the menu,food,neutral
Absolute Barbecues,This restaurant has been a mega hit among the corporates as most of the team lunch and dinner happens here and it is the same in my case too,food,positive
Absolute Barbecues,Had been here on weekday for lunch from office and I had held high expectations but wasn’t completely satisfied,food,negative
Absolute Barbecues,Less variety of starters for both veg and non veg ,food,negative
Absolute Barbecues,main course was a complete disappointment ,food,negative
Absolute Barbecues,live counter was innovative and good ,food,positive
Absolute Barbecues,desserts were amazing with huge number of options ,food,positive
Absolute Barbecues,Ambience was great,ambience,positive
Absolute Barbecues,waiters keeping you engaged with entertainment,service,positive
Absolute Barbecues,The food was really good,food,positive
Absolute Barbecues,What made it special was the service,service,positive
Absolute Barbecues,Thanks to Biswajit for the great service,service,positive
Absolute Barbecues,The amount of variety on offer was really good,food,positive
Absolute Barbecues,"All the desserts weren’t that great, but some were really good",food,neutral
Absolute Barbecues,"Suggest you definitely try this place out for some really good buffet!  ,  Had been there for a team buffet lunch today",food,positive
Absolute Barbecues,Great variety for non- vegetarians,food,positive
Absolute Barbecues,"U get Squid, emu, rabbit, pigeon, shark, octopus, fish, mutton, prawns and chicken",food,positive
Absolute Barbecues,Live counters are good,food,positive
Absolute Barbecues,There was a complimentary mock tail per head ,food,positive
Absolute Barbecues,Cleanliness - 4,service,positive
Absolute Barbecues,Services - 5/5 ,service,positive
Absolute Barbecues,Food - 4,food,positive
Absolute Barbecues,Value for money - 4/5 coz of less duration  ,food,positive
Absolute Barbecues,Had a good experience,service,positive
Absolute Barbecues,"Good job guys  ,  The best buffet place in the city",service,positive
New Punjabi Food Corner,We had ordered Chicken Kali Mirch and dal Tadka.The taste was good,food,positive
New Punjabi Food Corner,The chicken curry was good but chicken was not cooked well,food,negative
New Punjabi Food Corner,Dal Tadka was great in taste,food,positive
New Punjabi Food Corner,The aroma of roasted cumin was adding a good flavour,food,positive
New Punjabi Food Corner,The location is good as it is outside Wipro gate no 13,ambience,positive
New Punjabi Food Corner,it is the perfect place for Wiproites to have a good lunch as well as dinner,ambience,positive
New Punjabi Food Corner,Been here multiple times ,service,positive
New Punjabi Food Corner,Regular place for lunch with my teammates ,service,positive
New Punjabi Food Corner,I like their starters and curry - rotis ,food,positive
New Punjabi Food Corner,Good quantity for both their curries and appetizers ,food,positive
New Punjabi Food Corner,Highly recommend for affordable and decent North Indian and Chinese food,food,positive
New Punjabi Food Corner,The review is based on multiple deliveries in the last 5 months,service,positive
New Punjabi Food Corner,"The taste used to be delicious in the beginning, but it has deteriorated over a period of time",food,negative
New Punjabi Food Corner,But still a great fan of their Yellow Daal Jeera Tadka - one of the best Daal Tadka that I have had,food,positive
New Punjabi Food Corner,Their Butter Naan is also soft and absolutely fresh by the time they are delivered ,food,positive
New Punjabi Food Corner,Have tried few non veg starters and it’s been average,food,neutral
New Punjabi Food Corner,Butter Chicken has been a huge disappointment and so as their Special Butter Chicken ,food,negative
New Punjabi Food Corner,"However, still a decent place for good North Indian food",food,positive
New Punjabi Food Corner,Loved the tandoori chicken ,food,positive
New Punjabi Food Corner,real tasty really juicy and moist ,food,positive
New Punjabi Food Corner,all flavours were perfectly blended and timed into the tandoor ,food,positive
New Punjabi Food Corner,Please improve the salad and chutney ,food,negative
Punjabi Times, I went with my three friends and we enjoyed the food like anything,food,neutral
Punjabi Times,The Interior of the place makes u feel more good and what better way to enjoy Punjabi food when you have Punjabi ambiance like dhaba!!,ambience,positive
Punjabi Times,"Food was extremely delicious, order too many to remember the names",food,positive
Punjabi Times,Typical Punjabi restaurant,ambience,positive
Punjabi Times, Had my favorite Pulao and rajma,food,positive
Punjabi Times, It was delicious and would love to go back there again,food,positive
Punjabi Times, The ambience is also Punjabi with pictures and dolls,ambience,positive
Punjabi Times,  After reading reviews from here we went to this place,food,positive
Punjabi Times, We were craving for North Indian food,food,positive
Punjabi Times,Ambience is good,ambience,positive
Punjabi Times, Hospitality is good,service,positive
Punjabi Times,Rotis are great! Normal vegetable sabjis are good but paneer gravies are very sweet ?,food,positive
Punjabi Times,Starters are okay,food,neutral
Punjabi Times,Finally food is over priced! For the price which we paid we would have eat in some other North Indian restaurants twice!,price,negative
Punjabi Times,"  Whenever I crave good punjabi khana, I head to this place",food,positive
Punjabi Times, They server authentic Punjabi food,food,positive
Punjabi Times, Every dish is slathered with butter for the extra richness,food,positive
Punjabi Times," If you are in bannerghatta road and looking for good food, you know where to go, ''",food,positive
Punjabi Times, Visited with my Friends for a Casul Dinner on Last Week its great food ,food,neutral
Punjabi Times, Though we went there on a Week Day but the Place was almost Packed,service,neutral
Punjabi Times, The best part is their Consistency service,service,neutral
